ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
0d95a69e-8209-4857-97b1-a2ac56b992d6,verbal_reasoning,compound_words,2,Which word can be added to 'TOOTH' to make a compound word?,man | brush | brow | paste | port,paste,3,'tooth' + 'paste' = 'toothpaste',,
570d41d3-7dd5-4a6f-a94a-850bb0dc2162,verbal_reasoning,compound_words,2,Which word can be added to 'BUTTER' to make a compound word?,fly | paper | quake | room | fall,fly,0,'butter' + 'fly' = 'butterfly',,
5de9bcd2-ee96-450b-af37-760ac0711137,verbal_reasoning,compound_words,2,Which word can be added to 'CLASS' to make a compound word?,brush | man | bow | nail | room,room,4,'class' + 'room' = 'classroom',,
60888145-2845-4b3d-b20c-e37677790ccf,verbal_reasoning,compound_words,2,Which word can be added to 'EYE' to make a compound word?,brow | paste | quake | ball | shelf,brow,0,'eye' + 'brow' = 'eyebrow',,
62796c65-c063-4c02-9e1b-b16f54570d1b,verbal_reasoning,compound_words,2,Which word can be added to 'EARTH' to make a compound word?,flower | ground | quake | paste | brush,quake,2,'earth' + 'quake' = 'earthquake',,
640c2af6-cd8e-4044-aa1c-47984aa6be43,verbal_reasoning,compound_words,2,Which word can be added to 'LAP' to make a compound word?,top | brush | nail | ball | room,top,0,'lap' + 'top' = 'laptop',,
6523a1c4-a03c-4850-ada5-eb098b3c3fbe,verbal_reasoning,compound_words,2,Which word can be added to 'FOOT' to make a compound word?,ball | brush | bow | shelf | fly,ball,0,'foot' + 'ball' = 'football',,
6cb10f16-b61f-47d1-877e-526c93a739ef,verbal_reasoning,compound_words,2,Which word can be added to 'SUN' to make a compound word?,room | flower | board | side | fly,flower,1,'sun' + 'flower' = 'sunflower',,
761e395b-0524-42a8-b85c-533991f3c0b3,verbal_reasoning,compound_words,2,Which word can be added to 'EYE' to make a compound word?,flower | work | brow | nail | man,brow,2,'eye' + 'brow' = 'eyebrow',,
778ecf13-ca7a-4ce8-8cbc-482c41cb01a5,verbal_reasoning,compound_words,2,Which word can be added to 'POLICE' to make a compound word?,work | man | ball | ground | brush,man,1,'police' + 'man' = 'policeman',,
78d16e69-1808-42f8-8afc-72250df36ec0,verbal_reasoning,compound_words,2,Which word can be added to 'EARTH' to make a compound word?,shelf | brush | quake | board | nail,quake,2,'earth' + 'quake' = 'earthquake',,
81523a71-25f5-4cb6-8e05-54643ade01f3,verbal_reasoning,compound_words,2,Which word can be added to 'DOOR' to make a compound word?,bell | paste | side | quake | board,bell,0,'door' + 'bell' = 'doorbell',,
84f00529-5124-455c-a9f4-cb145eb42557,verbal_reasoning,compound_words,2,Which word can be added to 'DOOR' to make a compound word?,bell | room | chair | man | paper,bell,0,'door' + 'bell' = 'doorbell',,
874a81ce-2e80-4dc0-a50b-669cd7250739,verbal_reasoning,compound_words,2,Which word can be added to 'WATER' to make a compound word?,brush | room | ball | fall | side,fall,3,'water' + 'fall' = 'waterfall',,
91a3f6e7-c20b-4604-8add-f6457dfa41f3,verbal_reasoning,compound_words,2,Which word can be added to 'THUNDER' to make a compound word?,brow | fly | storm | room | board,storm,2,'thunder' + 'storm' = 'thunderstorm',,
9b395285-e3bf-4c63-99c7-f68f33734bf4,verbal_reasoning,compound_words,2,Which word can be added to 'AIR' to make a compound word?,nail | paste | bell | port | shelf,port,3,'air' + 'port' = 'airport',,
9ed3e79f-190d-4541-8354-7a8c4d5785da,verbal_reasoning,compound_words,2,Which word can be added to 'TOOTH' to make a compound word?,room | ball | bell | nail | paste,paste,4,'tooth' + 'paste' = 'toothpaste',,
a5568116-b0c7-4cff-8a39-edab774dc37b,verbal_reasoning,compound_words,2,Which word can be added to 'KEY' to make a compound word?,board | room | nail | brush | fall,board,0,'key' + 'board' = 'keyboard',,
b1bcc785-cd82-4458-b448-0a2b8072f8ca,verbal_reasoning,compound_words,2,Which word can be added to 'EARTH' to make a compound word?,paper | fall | nail | quake | man,quake,3,'earth' + 'quake' = 'earthquake',,
bb15d5f2-e5d6-416e-89b2-c87452892f4b,verbal_reasoning,compound_words,2,Which word can be added to 'BED' to make a compound word?,man | man | brush | top | room,room,4,'bed' + 'room' = 'bedroom',,
bc1d7292-91ff-4254-8590-f39438322827,verbal_reasoning,compound_words,2,Which word can be added to 'KEY' to make a compound word?,fall | board | ball | paste | brush,board,1,'key' + 'board' = 'keyboard',,
bc2c65af-3d65-4cb7-8eb1-37c29418ad5a,verbal_reasoning,compound_words,2,Which word can be added to 'HOME' to make a compound word?,ground | board | ball | quake | work,work,4,'home' + 'work' = 'homework',,
be82f4f0-acc7-46d6-9504-c6744cee9d92,verbal_reasoning,compound_words,2,Which word can be added to 'LAP' to make a compound word?,paste | room | top | ball | storm,top,2,'lap' + 'top' = 'laptop',,
c0b7defa-fba5-45e4-baf3-3fa4a91a7d48,verbal_reasoning,compound_words,2,Which word can be added to 'HAIR' to make a compound word?,brush | room | board | fly | man,brush,0,'hair' + 'brush' = 'hairbrush',,
cb9c6b8d-fe49-4483-a61b-96ab3150499c,verbal_reasoning,compound_words,2,Which word can be added to 'FIRE' to make a compound word?,paste | shelf | work | man | bow,man,3,'fire' + 'man' = 'fireman',,
cfd6546d-211f-4197-bd6b-abfe1b47fd81,verbal_reasoning,compound_words,2,Which word can be added to 'SEA' to make a compound word?,board | room | work | room | side,side,4,'sea' + 'side' = 'seaside',,
d132ba75-663b-4453-afae-3ab4717ebead,verbal_reasoning,compound_words,2,Which word can be added to 'LAP' to make a compound word?,room | paper | bow | side | top,top,4,'lap' + 'top' = 'laptop',,
d3a1ec40-9efe-434d-b222-97b161879c96,verbal_reasoning,compound_words,2,Which word can be added to 'THUNDER' to make a compound word?,work | board | chair | storm | ball,storm,3,'thunder' + 'storm' = 'thunderstorm',,
d526792f-87b7-45b5-84ca-4fac65363099,verbal_reasoning,compound_words,2,Which word can be added to 'NEWS' to make a compound word?,paper | chair | brow | port | man,paper,0,'news' + 'paper' = 'newspaper',,
d6997464-c230-4538-9a33-ddfaf507e535,verbal_reasoning,compound_words,2,Which word can be added to 'LAP' to make a compound word?,ball | top | fall | board | bell,top,1,'lap' + 'top' = 'laptop',,
e5517848-2e8b-4eb0-add7-32b0b614eaf0,verbal_reasoning,compound_words,2,Which word can be added to 'BASKET' to make a compound word?,top | ball | shelf | man | board,ball,1,'basket' + 'ball' = 'basketball',,
e972ea70-84df-4fca-baa1-234450144e44,verbal_reasoning,compound_words,2,Which word can be added to 'HOME' to make a compound word?,room | work | bow | shelf | top,work,1,'home' + 'work' = 'homework',,
ee44636b-8826-470b-970d-7da3a183e176,verbal_reasoning,compound_words,2,Which word can be added to 'DOOR' to make a compound word?,paper | storm | top | man | bell,bell,4,'door' + 'bell' = 'doorbell',,
f1f72601-29aa-4b8f-b66a-eb15de97366c,verbal_reasoning,compound_words,2,Which word can be added to 'BASKET' to make a compound word?,man | paste | man | ground | ball,ball,4,'basket' + 'ball' = 'basketball',,
f968b25f-30f4-4bf2-929d-cfe02734076d,verbal_reasoning,compound_words,2,Which word can be added to 'SNOW' to make a compound word?,room | paper | storm | man | quake,man,3,'snow' + 'man' = 'snowman',,
ff6f9810-7db2-44a4-ba2c-0c2733dc2b8a,verbal_reasoning,compound_words,2,Which word can be added to 'FOOT' to make a compound word?,fall | bell | side | top | ball,ball,4,'foot' + 'ball' = 'football',,
