ID,Subject,Type,Difficulty,Question,Options,Correct Answer,Correct Index,Worked Solution,VERIFIED (Y/N),ISSUES/NOTES
48fec9b9-e688-4dda-945c-ea7df4bd6bf0,english,spelling,2,Which word is spelled correctly?,pronunciation | pronounciation | pronounsiation | prononciation,pronunciation,0,The correct spelling is 'pronunciation'.,,
4bec4aea-91ed-4f79-9ff9-eeaae33b0303,english,spelling,2,Which word is spelled correctly?,hight | heighth | heigth | height,height,3,The correct spelling is 'height'.,,
4ed9005a-fce6-4a6b-81f5-51093efbe780,english,spelling,3,Which word is spelled correctly?,government | governmant | goverment | goverrnment,government,0,The correct spelling is 'government'.,,
5c96bf25-d30c-488f-957f-f3c630d02df2,english,spelling,3,Which word is spelled correctly?,tommorrow | tommorow | tomorrow | tomorow,tomorrow,2,The correct spelling is 'tomorrow'.,,
5e5d296c-2dff-4a29-bfef-59f395d3d80e,english,spelling,2,Which word is spelled correctly?,acommodate | accomodate | acomodate | accommodate,accommodate,3,The correct spelling is 'accommodate'.,,
66496e38-d614-4354-b675-de154c840708,english,spelling,3,Which word is spelled correctly?,weerd | weard | weird | wierd,weird,2,The correct spelling is 'weird'.,,
7b032153-c524-4187-89d5-927d93264deb,english,spelling,2,Which word is spelled correctly?,rhythm | rythm | rhythym | rithm,rhythm,0,The correct spelling is 'rhythm'.,,
825e020a-58d4-4f37-8ef6-a5f1baa367c6,english,spelling,2,Which word is spelled correctly?,occurance | occurence | occurrance | occurrence,occurrence,3,The correct spelling is 'occurrence'.,,
83c56bc1-4d39-4096-a096-e48d45681b2d,english,spelling,2,Which word is spelled correctly?,neccessary | necesary | neccesary | necessary,necessary,3,The correct spelling is 'necessary'.,,
8456f923-b06e-4135-abce-dcf394016913,english,spelling,3,Which word is spelled correctly?,embaras | embarras | embarrass | embarass,embarrass,2,The correct spelling is 'embarrass'.,,
8487a1d7-868d-4be6-bf37-f3a030b69fe6,english,spelling,3,Which word is spelled correctly?,recomend | recommend | reccommend | recommand,recommend,1,The correct spelling is 'recommend'.,,
89372bf6-e9e6-4204-a89a-ea4459925e23,english,spelling,2,Which word is spelled correctly?,recomend | reccommend | recommend | recommand,recommend,2,The correct spelling is 'recommend'.,,
8dc67d20-0179-4420-8181-0cd97fecd05f,english,spelling,3,Which word is spelled correctly?,necessary | neccesary | necesary | neccessary,necessary,0,The correct spelling is 'necessary'.,,
8df74bc9-06fb-4cd7-aa99-6710d261742f,english,spelling,2,Which word is spelled correctly?,rithm | rythm | rhythym | rhythm,rhythm,3,The correct spelling is 'rhythm'.,,
93f0053b-3d89-4c4f-9657-e326e7267a9e,english,spelling,3,Which word is spelled correctly?,pronounsiation | prononciation | pronounciation | pronunciation,pronunciation,3,The correct spelling is 'pronunciation'.,,
9afcb894-e5aa-4aa3-bdbd-4dd2b2d47c36,english,spelling,3,Which word is spelled correctly?,wierd | weird | weerd | weard,weird,1,The correct spelling is 'weird'.,,
a9c35ea4-32e4-4503-86e4-c74e6f83f719,english,spelling,2,Which word is spelled correctly?,belive | beleive | beleeve | believe,believe,3,The correct spelling is 'believe'.,,
af4887a7-36ed-46d2-9367-204026c16c51,english,spelling,2,Which word is spelled correctly?,ocasion | occasion | occassion | ocassion,occasion,1,The correct spelling is 'occasion'.,,
b3e30766-aaee-47aa-bd11-8c16e36619c3,english,spelling,2,Which word is spelled correctly?,weird | weard | wierd | weerd,weird,0,The correct spelling is 'weird'.,,
bc4eed99-1bf2-4d9d-a0b0-3b6340a32564,english,spelling,2,Which word is spelled correctly?,beleive | believe | beleeve | belive,believe,1,The correct spelling is 'believe'.,,
c0f25420-d74b-4d3e-96d7-59cd6b5e28a5,english,spelling,2,Which word is spelled correctly?,beginning | beginnning | begining | beggining,beginning,0,The correct spelling is 'beginning'.,,
c33bee2e-1151-4ffd-83ee-4d14a1df68c0,english,spelling,3,Which word is spelled correctly?,libray | library | liberry | libary,library,1,The correct spelling is 'library'.,,
c5bf2e86-6471-450d-be1e-8cadbdff20f8,english,spelling,2,Which word is spelled correctly?,occurrance | occurance | occurence | occurrence,occurrence,3,The correct spelling is 'occurrence'.,,
c9d6e2d5-0db7-4539-b85d-b0d4f8e468d7,english,spelling,2,Which word is spelled correctly?,separate | separete | seperate | seperete,separate,0,The correct spelling is 'separate'.,,
ca0262d3-5789-4ee1-9080-a835347ecddf,english,spelling,2,Which word is spelled correctly?,prononciation | pronounsiation | pronunciation | pronounciation,pronunciation,2,The correct spelling is 'pronunciation'.,,
cb37556d-9a70-4662-a63b-c6ed705ed68a,english,spelling,2,Which word is spelled correctly?,recomend | reccommend | recommand | recommend,recommend,3,The correct spelling is 'recommend'.,,
d7b866b5-ecb4-4230-a87d-bbe87add859c,english,spelling,2,Which word is spelled correctly?,recomend | recommand | reccommend | recommend,recommend,3,The correct spelling is 'recommend'.,,
d99848c2-8e2e-47e0-910b-471f337561c7,english,spelling,3,Which word is spelled correctly?,Wendesday | Wednesday | Wednsday | Wensday,Wednesday,1,The correct spelling is 'Wednesday'.,,
da6e36e1-9ed0-4dfa-a0c4-b03ff834a46e,english,spelling,2,Which word is spelled correctly?,weird | wierd | weerd | weard,weird,0,The correct spelling is 'weird'.,,
dd8de628-8333-4236-b042-5eb9618f93b0,english,spelling,3,Which word is spelled correctly?,rhythym | rithm | rhythm | rythm,rhythm,2,The correct spelling is 'rhythm'.,,
df169867-7aaf-4599-8c3d-c2ecd48392e2,english,spelling,2,Which word is spelled correctly?,February | Feburary | Febrary | Febuary,February,0,The correct spelling is 'February'.,,
e2613a51-f9af-4ef0-85eb-269b75b3e316,english,spelling,3,Which word is spelled correctly?,receive | receeve | recieve | recive,receive,0,The correct spelling is 'receive'.,,
e308b5e1-fa64-4bf3-ad37-5d30139d136d,english,spelling,2,Which word is spelled correctly?,begining | beginnning | beginning | beggining,beginning,2,The correct spelling is 'beginning'.,,
e62d6e3a-2421-4f42-b346-9eedbf7f2ea0,english,spelling,3,Which word is spelled correctly?,calendar | calender | calander | calandar,calendar,0,The correct spelling is 'calendar'.,,
efbd64cb-ecbc-4e2f-8662-40c26bb93dee,english,spelling,2,Which word is spelled correctly?,becuase | because | beacuse | becouse,because,1,The correct spelling is 'because'.,,
f0b0f89d-d71a-4297-96a9-7467a2e5052d,english,spelling,3,Which word is spelled correctly?,beleive | believe | belive | beleeve,believe,1,The correct spelling is 'believe'.,,
f1eb6ff0-912e-415d-a5a6-e67261f9599f,english,spelling,3,Which word is spelled correctly?,beggining | beginnning | beginning | begining,beginning,2,The correct spelling is 'beginning'.,,
f583ce14-727a-41e3-8858-c726dc5a235b,english,spelling,2,Which word is spelled correctly?,library | libary | libray | liberry,library,0,The correct spelling is 'library'.,,
fded79c2-2fae-49d1-af5e-11439d4c01eb,english,spelling,2,Which word is spelled correctly?,recommend | recomend | recommand | reccommend,recommend,0,The correct spelling is 'recommend'.,,
